Genotype,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,cv_38,cv_39,cv_40,cv_41,cv_42,cv_43,cv_44,cv_45,cv_46,cv_47,cv_48,cv_49,cv_50,cv_51,cv_52,cv_53,cv_54,cv_55,cv_56,cv_57,cv_58,cv_59,cv_60,cv_61,cv_62,cv_63,cv_64,cv_65,cv_66,cv_67,cv_68,cv_69,cv_70,cv_71,cv_72,cv_73,cv_74,cv_75,cv_76,cv_77,cv_78,cv_79,cv_80,cv_81,cv_82,cv_83,cv_84,cv_85,cv_86,cv_87,cv_88,cv_89,cv_90,cv_91,cv_92,cv_93,cv_94,cv_95,cv_96,cv_97,cv_98,cv_99,cv_100
DS11-02026,3,3,1,4,1,5,5,3,3,4,2,1,2,1,3,4,1,5,3,3,1,4,2,1,5,3,4,4,5,5,2,5,1,4,1,2,1,1,3,3,1,1,5,4,4,5,1,3,1,5,3,2,2,4,2,1,2,4,1,4,2,4,5,1,4,4,4,5,3,4,5,5,3,2,3,5,2,1,4,4,3,5,1,1,1,5,2,4,2,5,1,1,2,3,1,1,1,4,4,2
DS11-02027,4,2,2,4,1,5,3,3,4,4,5,4,3,2,4,4,2,5,2,4,5,4,2,1,1,3,1,3,1,4,3,4,5,2,4,5,2,3,5,1,5,4,4,1,2,3,1,1,1,2,1,3,5,3,3,5,2,1,1,1,2,5,2,4,4,2,2,1,1,4,4,4,3,4,4,3,1,3,3,4,2,5,3,5,2,2,3,3,3,4,3,3,5,4,1,5,1,2,3,2
DS11-02029,2,1,1,1,3,3,2,4,4,5,4,4,2,4,1,3,3,3,2,3,1,5,1,2,1,3,1,2,3,4,2,5,4,4,2,3,3,2,1,3,4,1,3,4,1,1,3,1,2,5,2,2,5,5,4,2,1,3,2,2,5,1,4,4,3,4,2,5,4,3,4,3,5,5,1,2,4,1,1,2,2,3,4,4,4,1,5,1,3,5,2,3,1,2,2,4,3,3,5,5
DS11-02030,5,3,4,5,3,5,2,3,1,4,4,4,2,3,1,4,5,2,1,3,1,2,1,2,1,1,5,4,4,2,1,1,4,4,4,4,4,2,4,2,4,5,5,5,5,2,1,3,3,5,2,1,1,2,3,1,1,3,1,1,4,5,1,4,5,5,2,4,2,1,4,4,2,1,4,3,4,3,4,1,4,2,3,4,3,1,2,5,4,2,5,5,2,4,5,1,5,3,5,1
DS11-02031,1,1,3,1,2,5,3,4,1,3,4,5,4,3,3,5,3,1,3,2,5,5,3,4,3,4,1,5,2,2,3,3,2,4,4,1,3,5,5,3,1,5,5,5,4,1,2,2,4,4,2,3,4,1,1,5,1,2,1,1,2,4,5,1,3,3,5,3,2,4,2,5,1,1,1,4,4,4,3,1,5,3,5,5,2,1,5,4,2,2,1,5,1,3,1,3,4,5,1,2
DS11-02032,3,3,3,4,2,5,3,4,2,5,3,1,2,2,2,4,4,4,2,3,3,5,2,4,2,5,5,5,5,2,5,1,3,1,2,4,5,5,5,2,3,4,4,4,2,2,5,1,5,3,4,3,5,5,2,4,5,5,5,5,4,3,1,3,4,2,3,4,3,2,1,4,1,3,1,2,1,5,3,3,3,2,1,3,3,4,4,3,3,1,3,1,3,5,3,2,1,3,3,1
DS11-02033,4,1,3,2,5,3,5,2,3,1,5,5,1,1,4,2,1,4,5,3,5,3,5,5,2,1,1,5,4,2,4,2,1,2,4,1,1,2,5,4,5,5,3,1,2,5,1,3,2,4,3,5,1,2,1,4,4,5,4,3,2,2,5,3,1,1,2,5,4,1,4,1,4,1,4,2,3,5,2,1,1,5,5,2,1,2,1,2,2,5,5,5,4,5,5,2,4,2,1,5
DS11-02035,1,5,4,1,5,5,2,5,2,5,5,2,2,4,4,3,5,1,4,4,1,5,1,2,4,1,5,1,1,5,3,2,5,2,5,3,5,5,4,4,4,2,1,1,4,1,5,4,3,5,5,2,4,3,5,2,1,5,1,1,2,4,2,1,5,1,4,1,3,2,4,3,1,2,5,2,5,4,3,3,2,1,3,5,3,1,2,3,3,4,5,2,1,1,1,4,5,1,3,5
DS11-02036,5,5,1,4,4,2,3,5,5,2,2,1,1,4,5,3,1,3,5,4,4,2,3,2,2,3,5,2,1,5,3,3,5,4,5,3,5,1,2,4,4,2,3,2,2,3,4,4,5,5,1,1,5,5,5,2,5,1,2,4,5,1,3,3,1,4,3,3,3,5,4,1,2,5,3,4,5,4,1,2,2,4,5,1,4,3,5,4,4,3,4,3,5,1,3,2,5,4,5,1
DS11-02037,1,3,1,1,1,3,1,2,3,3,3,1,5,3,2,4,4,5,4,5,1,3,2,2,2,5,2,4,3,4,5,4,4,1,2,3,5,4,5,2,1,5,4,2,2,4,1,4,2,4,2,5,3,4,5,4,2,4,3,3,1,3,4,5,2,1,4,3,5,5,3,5,1,5,2,2,3,2,1,4,5,3,4,1,5,4,1,4,5,2,3,4,4,5,3,1,4,1,2,1
DS11-02038,5,4,5,4,4,1,5,2,3,3,4,4,1,1,3,4,3,3,1,3,1,4,4,4,1,4,2,1,1,3,3,1,4,1,5,3,5,3,4,1,4,1,4,3,2,5,3,4,2,3,2,5,3,1,5,3,4,2,3,4,3,1,3,2,2,5,4,3,4,5,5,2,2,4,4,5,5,1,2,5,4,5,4,2,3,4,4,2,3,1,4,2,1,2,2,5,4,3,3,5
DS11-02040,3,3,3,3,5,3,1,1,4,2,2,4,4,4,4,1,4,1,4,3,4,3,3,5,5,1,5,2,5,3,5,1,3,3,4,5,5,5,1,5,2,4,2,2,4,3,2,5,1,1,2,3,3,3,5,3,3,3,2,2,2,2,4,2,5,3,4,2,3,2,1,2,5,1,1,2,5,1,2,5,3,3,2,4,2,5,5,3,3,5,3,5,2,3,5,4,1,2,2,1
DS11-02042,1,5,3,2,2,1,1,2,1,5,5,2,3,3,2,5,2,3,4,3,1,5,2,5,1,1,3,1,3,4,1,4,3,4,2,1,1,2,5,1,2,3,5,5,4,5,5,1,1,2,2,1,2,1,4,5,1,4,5,2,2,5,2,1,1,5,3,3,1,2,2,3,2,5,2,5,3,1,5,3,3,2,4,1,4,3,5,3,3,5,1,1,5,5,2,3,5,2,1,1
DS11-02043,2,2,2,1,3,1,4,2,3,2,5,3,1,1,4,2,2,4,1,2,2,3,2,4,2,3,4,3,3,3,4,3,1,1,4,1,3,3,4,4,3,5,3,4,5,5,1,3,2,2,3,2,2,1,2,3,4,3,2,3,5,3,1,2,3,1,3,2,3,1,4,4,5,5,5,5,3,1,3,4,1,3,2,5,1,1,5,5,2,2,2,5,1,3,2,2,2,5,4,4
DS11-02044,1,2,2,3,3,5,2,4,2,2,2,4,2,3,2,3,2,1,1,5,4,4,2,1,4,4,1,3,5,2,5,2,5,4,1,1,3,3,2,4,5,2,4,3,2,3,1,1,3,4,1,1,4,2,2,5,1,5,4,3,1,5,3,1,5,3,1,1,5,5,2,2,4,3,2,4,1,3,4,4,3,5,4,2,1,1,3,5,1,3,3,1,2,3,2,5,5,5,2,3
DS11-02047,5,4,3,2,2,5,3,3,1,2,1,2,3,1,4,3,5,1,4,3,3,2,4,1,2,2,3,4,2,3,2,3,3,5,4,4,4,2,1,5,2,2,2,4,3,3,2,4,4,3,3,4,2,4,4,1,5,2,4,5,1,2,1,1,4,3,5,5,2,4,4,4,5,5,1,1,4,3,1,5,5,1,3,5,2,2,2,5,3,4,3,2,4,5,3,5,2,3,4,5
DS11-02049,2,3,1,3,2,3,1,4,5,1,5,3,1,3,5,1,4,1,5,3,1,3,4,2,5,5,5,3,2,5,5,2,4,5,5,3,4,4,1,3,2,1,1,5,1,4,3,5,2,5,4,4,2,1,5,5,5,3,2,2,3,5,1,5,2,4,2,3,3,5,5,3,2,3,2,5,5,1,4,1,3,2,4,4,1,5,2,3,3,5,2,2,2,5,4,5,1,2,5,5
DS11-02051,1,5,2,3,4,4,1,1,2,5,3,1,4,2,2,2,2,2,4,1,2,1,5,1,4,4,5,3,5,1,1,5,1,2,4,4,3,3,2,4,1,2,3,3,3,3,1,5,4,1,1,2,5,4,4,4,1,1,4,1,4,1,3,3,2,5,5,2,4,3,1,4,1,4,2,1,5,1,5,1,2,3,1,5,5,5,4,2,2,4,3,5,4,2,1,1,1,3,3,2
DS11-02054,2,2,1,5,1,4,3,1,1,3,1,2,5,5,2,3,5,3,5,1,3,2,3,2,5,2,1,3,5,5,3,4,1,3,2,5,1,2,4,5,4,1,3,5,1,2,4,3,1,3,5,4,3,1,5,4,1,4,4,2,5,2,5,1,5,1,4,2,3,1,4,2,4,2,3,5,5,5,3,1,1,3,3,3,3,5,3,1,3,4,3,2,5,3,4,5,1,5,2,1
DS11-02057,2,1,3,4,3,5,4,2,1,5,2,5,3,1,2,4,1,4,4,3,5,3,2,1,4,1,4,4,4,4,3,2,3,2,4,2,5,4,3,2,4,1,2,2,1,1,2,4,5,3,3,5,2,2,1,4,2,2,2,5,5,4,1,2,5,5,4,1,4,1,1,2,1,4,2,1,4,4,4,2,4,4,5,4,5,4,4,4,2,4,3,2,4,3,3,5,3,2,3,4
DS11-02059,1,5,4,1,2,3,1,2,3,3,5,3,3,3,2,4,4,3,4,1,3,1,1,1,5,3,5,4,3,5,1,3,1,5,3,1,1,5,4,4,4,2,2,3,4,5,5,1,4,4,4,1,4,5,3,4,3,3,4,3,2,3,5,4,1,3,4,5,5,5,3,4,4,1,5,3,2,3,1,1,4,4,1,4,3,3,4,2,5,5,2,3,5,4,2,1,1,1,3,4
DS11-02061,3,5,5,5,5,1,5,4,5,4,2,3,5,1,1,1,4,1,4,3,5,1,5,3,1,3,5,5,5,1,3,1,5,5,1,5,3,1,5,1,4,1,2,4,4,1,3,1,5,1,2,4,5,1,2,5,4,3,2,4,1,2,2,5,1,4,2,3,1,1,4,1,1,5,5,3,5,1,2,4,3,5,5,4,1,3,5,4,3,2,3,1,3,3,1,5,2,3,2,5
DS11-02063,2,3,5,2,1,5,3,5,5,4,3,4,3,2,3,5,1,4,3,4,4,3,2,4,5,5,1,5,1,3,2,2,5,2,1,2,1,3,2,1,4,1,1,2,2,1,1,2,4,4,3,2,1,1,5,2,4,4,3,3,1,4,2,4,3,1,4,4,5,5,2,1,2,5,2,3,4,5,1,1,1,1,3,4,5,1,5,4,5,3,3,4,1,3,3,1,2,2,3,5
DS11-02064,5,3,3,3,2,1,2,4,1,5,5,3,3,2,2,2,1,2,2,3,4,1,5,5,2,1,2,2,1,4,4,4,4,5,4,3,3,4,5,1,2,2,4,2,5,2,1,4,3,4,4,5,3,1,5,1,2,1,2,5,5,3,1,5,3,4,2,4,3,5,1,3,4,4,4,4,1,3,5,4,2,4,2,2,2,1,4,1,2,3,3,1,1,3,1,1,1,3,3,4
DS11-02065,4,4,5,1,4,4,5,3,2,2,3,3,5,1,3,5,2,5,3,5,3,1,4,5,3,5,4,4,5,2,3,3,4,4,5,3,4,3,5,2,5,2,1,1,1,5,3,2,1,4,4,1,3,1,3,3,5,5,2,4,2,5,5,2,3,3,2,4,1,4,2,3,2,2,1,2,4,2,3,4,5,2,4,4,5,3,4,4,5,3,5,5,3,2,4,5,1,3,5,3
DS11-02066,5,1,5,4,5,1,4,2,5,5,4,1,2,2,1,2,5,5,5,2,4,1,1,3,3,2,4,1,1,2,5,4,4,1,1,1,2,5,2,1,1,3,2,5,2,2,5,4,5,5,3,4,5,4,5,5,1,3,1,3,2,4,4,3,2,4,1,5,1,4,1,2,3,4,2,4,4,4,3,4,2,4,4,4,3,2,1,1,1,4,2,2,2,1,3,2,3,5,2,4
DS11-02069,1,5,2,4,5,1,3,3,2,3,3,3,1,1,3,5,1,1,5,1,4,4,5,1,4,1,4,3,4,4,4,2,3,5,2,5,4,1,4,4,4,1,1,1,2,1,4,2,1,5,4,2,4,2,2,5,4,4,5,5,4,5,4,4,5,5,4,3,3,5,3,3,4,1,1,1,3,3,5,2,5,3,5,2,2,2,3,5,3,2,4,5,1,2,1,2,1,1,5,5
DS11-02070,1,1,5,5,1,1,5,1,4,5,3,3,2,2,1,4,1,2,5,4,4,5,3,2,1,4,2,5,5,4,5,1,4,1,5,3,1,5,4,3,1,2,2,1,3,1,1,1,1,1,4,5,1,2,5,2,2,4,1,3,5,5,1,1,3,3,3,4,5,3,3,4,3,1,5,1,5,5,3,3,2,3,3,1,5,3,4,5,5,4,4,4,4,5,4,2,5,4,4,4
DS11-02071,5,5,5,4,5,2,2,4,3,5,5,2,3,4,2,3,1,5,3,3,5,3,5,4,1,4,3,5,5,1,5,2,1,5,5,4,5,4,2,1,2,3,3,5,1,2,3,1,1,5,2,1,5,4,2,2,5,4,5,1,1,2,4,1,5,2,3,1,3,4,2,3,5,1,5,2,2,2,2,5,2,4,4,5,5,5,1,3,1,1,2,5,2,2,2,1,2,4,1,1
DS11-02078,1,4,2,5,5,1,1,5,1,2,1,2,1,3,4,5,3,2,4,1,5,5,2,4,3,1,1,4,2,3,2,2,2,1,1,3,4,1,4,1,3,4,2,4,3,1,3,5,3,1,5,1,3,3,4,4,5,1,1,5,3,3,3,3,2,4,2,2,1,2,3,2,5,1,1,1,1,1,1,4,2,5,1,1,5,1,3,5,3,3,4,4,4,3,4,1,3,4,3,4
DS11-02080,5,1,4,3,5,1,5,5,1,3,2,4,1,3,3,2,3,1,4,1,5,5,5,2,1,4,2,2,5,2,3,3,2,5,5,3,5,3,2,1,1,4,5,4,2,2,4,1,3,4,1,4,4,3,4,3,3,5,1,1,2,2,1,5,5,5,2,5,1,5,1,2,5,5,1,5,2,1,3,4,3,4,5,3,5,4,2,2,4,4,1,2,5,1,5,2,2,1,2,5
DS11-02086,1,2,4,2,3,4,3,3,3,2,5,4,2,2,3,4,2,2,4,3,4,4,1,1,2,4,5,5,4,1,2,3,1,2,5,5,2,5,1,3,1,1,2,2,1,4,2,3,4,5,4,5,4,3,5,4,2,1,2,5,3,3,3,1,1,1,3,4,3,2,1,5,2,4,3,2,4,5,5,4,2,2,4,4,4,1,2,3,2,4,3,5,4,2,1,1,5,1,2,5
DS11-02089,4,5,2,4,5,1,2,3,5,4,3,4,1,2,1,2,2,3,4,5,3,3,2,3,2,1,2,4,2,2,2,3,3,3,1,3,4,1,4,2,2,4,2,4,3,4,5,5,1,1,4,2,1,4,1,3,2,2,4,5,3,2,4,5,3,2,2,5,1,2,2,3,1,2,3,5,1,4,1,1,4,1,1,3,5,4,2,2,4,3,2,2,2,2,4,5,3,4,2,1
DS11-02091,3,1,1,3,5,3,4,5,3,4,5,3,5,4,2,5,5,4,4,2,3,3,4,5,4,3,1,4,2,2,2,5,5,1,1,3,3,5,2,3,3,3,5,3,1,4,1,1,1,5,3,3,3,2,2,1,2,2,4,1,2,3,4,4,1,1,5,1,4,3,1,4,5,5,1,2,5,1,4,3,5,2,5,4,3,2,1,3,4,1,2,4,4,4,2,1,5,2,4,1
DS11-02093,2,2,1,3,3,2,3,2,4,5,4,3,2,3,2,1,3,1,2,2,5,2,4,3,2,1,4,2,2,5,3,4,4,2,3,2,2,3,3,1,4,3,4,1,4,5,4,5,5,1,5,4,4,5,3,3,4,3,5,5,2,1,1,2,4,3,3,2,2,1,5,5,1,4,2,4,3,2,2,5,2,1,3,4,1,4,4,4,5,4,3,5,1,2,3,2,4,3,2,2
DS11-02095,2,3,1,5,2,4,4,2,5,3,2,1,5,5,4,3,4,5,4,4,5,3,4,2,2,5,5,1,4,3,4,2,3,4,4,4,4,3,4,5,2,4,3,4,2,3,3,4,4,5,4,1,3,3,1,5,3,4,3,5,4,5,5,3,1,3,1,2,3,5,2,3,3,5,4,1,1,3,5,2,4,3,4,4,2,2,3,4,2,3,5,3,3,5,3,2,3,4,4,4
DS11-02098,2,5,3,3,5,2,5,1,1,2,2,1,1,4,5,1,5,2,4,3,3,4,3,5,4,4,1,2,2,5,2,1,4,1,5,5,1,2,3,3,4,4,5,3,1,2,1,4,4,5,1,3,5,3,1,2,4,2,4,5,2,3,2,2,5,3,1,1,3,5,5,4,3,1,4,2,5,1,1,5,3,2,1,4,2,3,2,5,3,1,3,3,3,3,5,1,5,4,4,5
DS11-02099,1,3,4,5,2,4,1,3,5,3,5,2,3,1,2,2,1,1,5,1,5,3,1,3,3,2,4,5,5,5,1,5,4,1,3,1,5,2,2,3,4,4,3,4,3,3,3,1,4,3,2,3,1,3,2,2,3,5,5,5,2,3,3,1,3,4,3,5,1,3,4,3,1,5,3,5,1,4,5,1,5,5,4,1,5,1,1,1,2,3,2,5,3,1,4,3,2,3,5,2
DS11-02108,1,1,4,5,4,2,5,4,1,2,4,1,1,1,2,1,5,2,1,5,2,3,1,5,2,5,2,2,5,3,5,5,2,5,4,1,1,1,3,5,4,1,4,2,1,4,5,5,5,1,4,4,4,5,4,4,1,1,5,4,1,5,5,1,1,5,5,3,1,5,1,2,4,5,4,1,5,5,1,5,1,1,5,1,1,1,5,2,1,3,4,2,3,2,4,3,1,5,4,3
DS11-02113,3,5,5,4,4,5,4,5,3,4,5,4,3,4,3,3,3,5,3,3,3,3,5,5,2,5,4,3,2,5,1,3,1,4,2,5,3,1,1,5,2,4,4,4,2,4,2,5,5,1,2,5,3,2,1,4,3,5,1,3,2,4,1,2,2,4,4,2,1,5,4,1,4,3,1,5,4,1,2,2,4,5,2,2,1,1,4,2,1,5,5,3,2,5,1,4,3,4,3,5
DS11-02115,4,2,5,3,4,4,5,1,1,1,5,3,1,3,1,5,2,2,3,5,4,1,1,3,4,4,2,3,1,3,1,1,4,4,2,1,1,4,3,5,1,5,1,4,1,2,1,3,5,1,2,5,3,5,3,4,2,4,4,3,1,4,4,4,4,4,3,1,2,3,5,4,4,1,1,4,3,4,2,3,1,3,5,3,2,2,4,5,1,4,5,1,4,3,4,4,5,2,1,5
DS11-02118,3,5,1,4,3,3,4,1,3,3,3,3,1,3,4,5,2,4,2,5,2,2,5,4,5,5,2,4,4,5,3,5,3,3,2,1,2,5,3,5,4,3,3,2,2,5,1,5,5,3,5,1,3,1,3,5,1,2,1,5,4,5,1,1,5,5,1,3,4,1,1,5,5,1,3,5,4,3,2,4,2,1,4,4,5,1,1,4,1,4,1,1,5,1,1,3,2,5,1,5
DS11-02120,3,3,1,5,5,5,1,3,5,2,4,4,4,2,3,2,4,4,2,5,1,5,1,4,3,2,4,3,3,1,5,1,3,3,1,2,3,3,5,1,4,2,2,3,5,2,1,4,3,4,4,1,2,3,4,2,4,4,3,3,4,4,3,5,3,5,3,5,4,2,2,2,3,1,1,3,3,1,5,3,1,3,1,1,4,5,5,4,3,3,1,3,3,3,5,1,5,1,4,4
DS11-02121,3,5,5,3,2,2,3,4,3,3,1,1,4,5,5,4,5,5,3,4,4,3,5,1,4,4,2,5,3,5,4,5,5,5,5,1,5,4,4,2,1,5,4,1,5,2,4,1,2,1,3,2,4,2,5,4,2,1,3,4,5,4,5,2,4,2,4,2,2,3,4,4,3,5,1,5,2,5,3,4,1,2,4,4,5,4,5,2,5,1,5,5,5,4,5,4,1,1,4,3
DS11-02123,3,3,1,3,1,4,3,1,3,3,2,1,3,5,5,5,3,3,3,4,5,5,3,4,4,2,1,4,2,3,3,4,2,5,2,4,3,3,5,2,2,2,3,3,5,4,4,4,4,3,3,5,3,5,3,3,2,4,1,5,1,5,4,5,5,1,4,4,2,3,5,3,3,5,5,2,3,4,1,1,4,2,5,1,1,5,1,4,5,4,4,4,4,2,1,1,3,1,5,1
DS11-02127,4,2,3,1,4,4,3,3,5,5,4,5,5,2,2,5,4,2,4,4,2,4,4,1,5,2,2,3,4,1,4,2,3,5,2,1,5,5,1,2,3,5,4,3,1,3,1,4,4,4,3,4,3,1,1,4,1,4,1,3,1,5,2,4,2,4,3,1,1,1,5,4,2,3,3,2,2,5,5,4,3,3,5,3,1,4,2,2,5,2,5,3,3,2,4,2,4,5,1,4
DS11-02129,5,4,4,5,3,1,2,3,3,2,3,4,3,2,1,5,3,1,2,3,2,3,1,3,4,5,5,4,3,3,1,1,1,1,4,5,1,3,3,4,1,5,5,3,5,2,5,4,2,5,3,1,3,2,3,1,3,5,2,4,4,1,2,5,5,5,3,4,5,5,3,3,2,5,2,4,1,1,1,1,2,3,5,3,3,3,5,1,2,1,4,1,1,3,1,3,1,3,5,3
DS11-02131,1,2,3,2,3,2,3,5,5,3,2,2,3,3,1,5,1,2,1,1,4,2,2,3,1,4,2,1,2,5,2,1,4,5,1,1,1,1,3,2,4,2,2,4,3,2,4,2,1,4,3,2,4,2,4,2,3,4,3,3,5,2,4,4,5,5,4,4,4,3,4,4,4,1,2,5,3,2,3,4,5,4,5,2,1,5,2,2,1,4,1,2,1,5,5,4,1,1,3,2
DS11-02132,2,4,1,5,3,3,4,3,4,3,4,4,4,3,4,3,4,4,1,2,5,2,1,4,3,2,3,1,2,4,4,3,4,2,3,3,1,1,5,2,5,4,4,1,1,1,2,2,5,5,3,1,5,4,5,3,5,2,5,3,3,5,2,2,1,2,4,2,3,1,5,2,2,5,2,1,2,4,5,1,1,2,2,1,5,4,2,3,4,1,2,4,5,1,3,4,4,4,2,5
DS11-02133,5,4,5,1,5,4,1,2,2,4,2,2,2,4,1,5,1,1,5,2,4,2,4,2,4,4,4,3,5,3,1,2,2,5,5,3,2,5,4,5,1,2,3,1,2,4,1,5,4,5,3,3,4,2,1,4,2,5,5,2,4,3,4,2,2,3,3,5,1,1,2,2,5,5,5,5,4,2,2,1,1,1,2,5,1,4,5,1,5,4,2,3,1,3,1,3,4,4,3,2
DS11-02135,5,1,5,2,3,1,4,2,2,4,3,4,5,4,5,2,5,5,3,3,2,3,1,2,1,5,4,4,5,3,4,1,3,3,5,2,5,2,1,5,2,4,2,5,5,2,3,2,3,2,1,4,1,3,5,2,1,1,1,2,2,5,5,1,3,1,4,5,5,1,3,5,4,3,5,5,5,1,4,4,2,2,2,4,5,2,5,1,2,5,3,5,2,3,2,5,1,1,2,4
