Genotype,height,R8,yield
DS11-02161,109.168571428571,35.8571428571429,3849.64285714286
DS11-02162,94.9114285714286,35.4285714285714,3837.94285714286
DS11-02163,95.3666666666667,31.3333333333333,3898.28333333333
DS11-02164,105.202857142857,33.5714285714286,4103.57142857143
DS11-02165,96.6371428571429,34.2857142857143,3547.75714285714
DS11-02166,94.6242857142857,36.8571428571429,4039.62857142857
DS11-02167,93.8571428571429,31,3853.78571428571
DS11-02168,97.89,30.1428571428571,4096.68571428571
DS11-02169,104.442857142857,37,4106.71428571429
DS11-02173,100.216666666667,31.8333333333333,4093.38333333333
DS11-02174,101.792857142857,33.8571428571429,3999.02857142857
DS11-02177,103.384285714286,38,3844
DS11-02178,102.797142857143,36.4285714285714,4029.15714285714
DS11-02180,104.57,35.4285714285714,3466.52857142857
DS11-02181,95.2371428571429,37.5714285714286,3982.82857142857
DS11-02182,91.1942857142857,36.2857142857143,3929.27142857143
DS11-02183,106.905,32.8333333333333,3806.91666666667
DS11-02186,97.9242857142857,34.8571428571429,4168
DS11-02187,94.5657142857143,36.7142857142857,4221.85714285714
DS11-02188,92.2716666666667,29.8333333333333,3867.31666666667
DS11-02190,101.816666666667,35.5,4345.15
DS11-02191,94.8871428571429,36,4162.54285714286
DS11-03003,93.8563636363636,29.1818181818182,3961.52454545455
DS11-03004,106.306363636364,33.2727272727273,4094.06545454545
DS11-03005,104.8,33.5454545454545,4170.58909090909
DS11-03006,85.1918181818182,28.5454545454545,3722.74545454545
DS11-03007,87.0172727272727,30.0909090909091,4085.69909090909
DS11-03008,102.81,31.8181818181818,4270.76545454545
DS11-03009,84.1609090909091,31.2727272727273,3386.33545454545
DS11-03010,90.152,26.9,3978.37
DS11-03011,81.6127272727273,28.9090909090909,3580.09454545455
DS11-03012,97.536,29.7,4256.864
DS11-03013,106.768181818182,31.9090909090909,3910.96545454545
DS11-03014,93.412,32.6,4234.2
DS11-03015,100.265,29,4083.535
DS11-03016,94.402,26.9,3527.673
DS11-03017,85.686,27.3,3924.146
DS11-03018,74.318,23.7,3341.105
DS11-03019,90.79,32.5,3839.586
DS11-03020,91.0745454545455,35.5454545454545,4040.21636363636
DS11-03021,94.0872727272727,30.1818181818182,4120.17545454545
DS11-03022,91.428,25.7,3658.973
DS11-03023,84.635,26.7,3702.349
DS11-03024,94.443,28.3,3837.17
DS11-03025,87.2563636363636,31.3636363636364,3801.91454545455
DS11-03026,85.5327272727273,29.3636363636364,3923.78545454545
DS11-03027,82.05,27.1,3667.181
DS11-03029,91.129,26.6,3711.187
DS11-03030,97.9072727272727,26.3636363636364,3691.47181818182
DS11-03031,88.716,30.4,4349.901
DS11-03032,100.187272727273,29.2272727272727,4081.05863636364
DS11-03034,78.8118181818182,30.1818181818182,3721.57636363636
DS11-03036,100.044545454545,34.0909090909091,4195.05909090909
DS11-03037,96.824,31.7,4124.369
DS11-03038,90.5672727272727,29.5454545454545,3805.16
DS11-03039,94.239,28.6,3801.01
DS11-03041,104.562,29.5,4020.169
DS11-03044,105.578,29.7,3990.57
DS11-03045,96.189,29.7,3930.757
DS11-03047,109.311,33.1,4421.353
DS11-03048,101.865,31.7,3959.843
DS11-03050,96.254,32.1,3975.349
DS11-03052,94.349,28.8,4077.4025
DS11-03055,97.152,30.6,4356.491
DS11-03057,91.832,26.7,4131.839
DS11-03058,103.87,30.5555555555556,4441.28666666667
DS11-03059,99.7965,29.45,4121.704
DS11-03064,105.141,31.5,4407.986
DS11-03065,100.114,27.4,3867.757
DS11-03066,104.878,30.6,4288.125
DS11-03067,91.673,29.1,4290.941
DS11-03070,90.533,27.8,4043.782
DS11-03071,107.267,32.2,4370.162
DS11-03072,107.704,30.7,4326.601
DS11-03074,92.647,29.5,4134.403
DS11-03075,86.909,31.1,4240.471
DS11-03076,87.101,25.9,3905.634
DS11-03077,109.639,29.9,3845.405
DS11-03078,119.19,34.3,3949.364
DS11-03079,91.77,32.8,4363.169
DS11-03080,95.725,28.1,4086.632
DS11-03081,98.306,26.5,4289.311
DS11-03082,95.226,28.4,4212.891
DS11-03083,87.842,28.3,4164.202
DS11-03084,97.128,29.2,4215.849
DS11-03085,88.908,26.5,4038.066
DS11-03086,98.549,30.2,3895.444
DS11-03088,104.317,28.9,4354.252
DS11-03089,96.847,32.7,4380.361
DS11-03104,94.30375,31.25,4142.9875
DS11-03106,97.21,33.25,4261.9875
DS11-03108,83.84875,31.875,3936.85
DS11-03109,98.495,33.375,4043.125
DS11-03110,83.48,32.375,4135.6625
DS11-03111,99.45125,31.375,4213.3125
DS11-03112,86.755,29.875,3904.3125
DS11-03113,95.6075,30.75,3991.7875
DS11-03115,94.7325,29.375,4057.75
DS11-03116,96.04625,28.125,3945.85
DS11-03119,87.2825,28.875,3961.475
DS11-03120,88.2575,32.375,3729.1625
DS11-03122,105.43125,33.875,4203.1125
DS11-03123,98.7975,35,4345.9625
DS11-03124,101.68375,32.25,3642.0625
DS11-03126,100.65375,32.75,4320.625
DS11-03128,104.198571428571,32.4285714285714,4144.7
DS11-03129,90.54625,31.875,4130.375
DS11-03130,101.105,29.375,4076.675
DS11-03131,100.71,31.375,3932.5
DS11-03132,92.625,35.25,4394.975
DS11-03133,92.39875,28,3917.7625
DS11-03134,101.87625,33.625,4428.575
DS11-03135,98.07,31.875,4142.2875
DS11-03138,95.96875,30.125,4047.975
DS11-03142,99.61,34.375,4090.225
DS11-03143,96.26875,34.125,4009
DS11-03144,97.80375,34.25,3950.325
DS11-03145,96.195,32.875,4260.475
DS11-03147,79.3375,26.625,3845.525
DS11-03148,114.8275,36.625,4550.05
DS11-03149,103.6375,33,4070.0125
DS11-03151,97.07375,31.25,4265.65
DS11-03154,100.4475,30.625,4279.6125
DS11-03157,91.535,34,3974.975
DS11-03158,106.654285714286,34,4024.7
DS11-03160,101.7875,35.375,4346.4
DS11-03161,107.86125,31.875,4403.5
DS11-03162,92.3925,30.875,4239.4875
DS11-03163,112.0625,35.875,4384.175
DS11-03164,103.877142857143,32.2857142857143,4266.54285714286
DS11-03165,98.0714285714286,30,3751.67142857143
DS11-03166,85.86125,31.375,3970.1
DS11-03168,89.66,33.25,4210.1125
DS11-03169,93.9025,34.75,4271.5
DS11-03170,100.3,30.8571428571429,4621.78571428571
DS11-03171,99.8985714285714,34.2857142857143,4215.97142857143
DS11-03172,102.4075,34.25,4371.025
DS11-03173,92.6542857142857,34.1428571428571,4265.67142857143
DS11-03174,89.06875,34.75,4454.0875
DS11-03175,96.3928571428571,29.1428571428571,4453.45714285714
DS11-03176,114.218571428571,30.8571428571429,4000.1
DS11-03177,93.86125,32.625,4159.25
DS11-03178,102.164285714286,30.8571428571429,4113
DS11-03180,98.9525,35.5,4174.625
DS11-03181,104.857142857143,33.4285714285714,4072.88571428571
DS11-03183,96.47125,30.75,4314.6
DS11-03185,98.87125,30.75,4407.025
DS11-03186,104.071428571429,33.5714285714286,4662.68571428571
DS11-03188,95.08,33,4046.82857142857
DS11-03189,88.6714285714286,29.2857142857143,4078.35714285714
DS11-03190,99.7428571428571,33.4285714285714,4067.88571428571
DS11-03195,95.925,32.25,4026.05
DS11-03196,97.76375,34.5,4273.025
DS11-03197,93.1657142857143,30.1428571428571,3812.97142857143
DS11-03198,88.1228571428571,29.2857142857143,4055.61428571429
DS11-03199,99.7,31.5714285714286,3926.37142857143
DS11-03200,97.86,31.75,3721.475
DS11-03202,89.6825,33.625,4425.9875
DS11-03203,91.63125,35.25,4150.7
DS11-04002,97.598,33.8,4155.694
DS11-04003,98.179,31.9,3878.213
DS11-04006,92.937,33.4,3716.786
DS11-04007,93.652,31.5,4131.94
DS11-04008,101.96,30.5,3998.25
DS11-04009,87.243,33.2,4011.396
DS11-04010,90.669,28.6,3897.913
DS11-04012,96.1,31.1,3652.309
DS11-04013,93.415,30.2,3931.851
DS11-04015,94.762,34.5,3979.362
DS11-04016,108.948,30.5,3802.897
DS11-04017,93.926,33.6,3842.872
DS11-04023,91.986,29.1,3856.942
DS11-04027,96.339,30.8,3683.47
DS11-04028,102.267,30,4059.929
DS11-04029,99.7,32.3,3688.301
DS11-04030,98.386,31.3,3949.579
DS11-04032,102.94,33.5,3798.607
DS11-04033,86.023,29.3,3797.427
DS11-04035,103.259,33.1,3907.138
DS11-04036,98.478,31.2,3999.646
DS11-04037,97.394,31.3,4189.285
DS11-04039,102.678,30.3,3682.223
DS11-04040,94.821,33.4,4060.13
DS11-04041,102.843,35.6,3976.584
DS11-04043,101.93,32.1,3520.317
DS11-04044,91.324,28.3,3872.66
DS11-04045,99.644,32.4,4059.558
DS11-04047,98.206,32.9,3801.061
DS11-04048,102.32,33.7,3838.037
DS11-04049,96.487,30.4,4143.81
DS11-04050,100.306,30.9,3929.889
DS11-04051,91.779,32.5,3722.141
DS11-04053,87.311,32.1,3834.585
DS11-04054,88.5811111111111,29.6666666666667,4162.90777777778
DS11-04055,93.6155555555555,29.3333333333333,4064.77444444444
DS11-04056,96.28,29.4444444444444,4182.03
DS11-04058,94.6655555555556,28.2222222222222,3746.71555555556
DS11-04059,109.849,32.1,4065.549
DS11-04060,106.463333333333,30.5555555555556,3902.82666666667
DS11-04061,100.33,31,4162.166
DS11-04062,94.7444444444445,28.7777777777778,3688.78
DS11-04063,92.337,31.7,4121.479
DS11-04064,100.74,29.6666666666667,3863.25333333333
DS11-04068,92.2077777777778,28.1111111111111,3837.65666666667
DS11-04069,91.221,30.9,3832.656
DS11-04072,106.18,33.3,3919.724
DS11-04073,95.92,32.3,3877.002
DS11-04074,89.821,28.5,4001.289
DS11-04075,92.872,33.1,4088.822
DS11-04078,92.66125,32.25,3991.56125
DS11-04079,91.7844444444444,28.7777777777778,3871.17666666667
DS11-04080,95.356,32.7,4149.441
DS11-04082,94.644,29.2,3628.889
DS11-04084,88.3577777777778,29.2222222222222,3931.89444444444
DS11-04085,93.3622222222222,31.8888888888889,4070.03888888889
DS11-04089,84.98,29.2,3893.456
DS11-04090,84.209,28.3,3878.242
DS11-04091,100.052,31.3,3829.216
DS11-04092,95.188,28.5,3938.471
DS11-04094,95.453,30.8,3748.251
DS11-04095,102.996,31.6,4105.184
DS11-04096,96.531,29.2,3849.578
DS11-04097,96.71,29.4444444444444,3816.22666666667
DS11-04098,103.47,29.2222222222222,3775.49444444444
DS11-04099,93.7955555555556,32,3934.01777777778
DS11-04100,95.0522222222222,33,3881.86666666667
DS11-04101,98.032,33.9,4343.977
DS11-04104,100.217777777778,31,3480.37222222222
DS11-04112,101.301111111111,29.4444444444444,4049.13333333333
DS11-04114,90.90375,34.75,4181.5375
DS11-04115,85.6933333333333,32.1111111111111,3763.61111111111
DS11-04116,94.6033333333333,33,3994.84444444444
DS11-04119,97.3788888888889,29.5555555555556,3827.15555555556
DS11-04120,96.0866666666667,36.8888888888889,4333.73333333333
DS11-04121,94.3311111111111,32,3634.92222222222
DS11-04122,92.3877777777778,30.8888888888889,4019.05555555556
DS11-04124,94.17,32.4444444444444,3867.75555555556
DS11-04127,91.4655555555556,29.6666666666667,3864.11111111111
DS11-04129,89.7555555555556,33.8888888888889,4606.33333333333
DS11-04130,87.8166666666667,30.2222222222222,4231.44444444444
DS11-04132,89.4705555555556,31.9444444444444,3891.75
DS11-04133,96.9522222222222,30,4074.05555555556
DS11-04135,90.0944444444444,29.3333333333333,3942.74444444444
DS11-04137,97.0377777777778,28.6666666666667,4149
DS11-04138,100.93,31.8888888888889,3516.34444444444
DS11-04140,90.1666666666667,34.4444444444444,3777.84444444444
DS11-04142,89.7366666666667,28,4009.34444444444
DS11-04143,98.2288888888889,33.6666666666667,3948.95555555556
DS11-04145,105.015555555556,32.5555555555556,4092.35555555556
DS11-04146,96.205,30.5,3600.325
DS11-04147,99.3355555555556,34,4051.52222222222
DS11-04148,90.2222222222222,31.3333333333333,3956.62222222222
DS11-04149,98.1533333333333,32,4233.2
DS11-04152,101.307777777778,32.7777777777778,3730.27777777778
DS11-04153,86.6188888888889,28.7777777777778,3806.97777777778
DS11-04155,93.5,31.7777777777778,4042.88888888889
DS11-04156,95.6166666666667,33,3699.04444444444
DS11-04157,91.8125,28.5,3835.9875
DS11-04158,95.25,29.4444444444444,3612.16666666667
DS11-04160,90.7766666666667,32.2222222222222,3838.62222222222
DS11-04162,87.6166666666667,29.8888888888889,3988.5
DS11-04163,80.9544444444444,32.2222222222222,3785.7
DS11-04164,90.34625,35.5,4228.725
DS11-04165,97.92625,34.25,4391.7875
DS11-04167,103.515,36.875,4058.1
DS11-04168,95.9914285714286,33.7142857142857,4622.68571428571
DS11-04169,107.51,39.625,3862.525
DS11-04170,91.6725,33.625,4385.1
DS11-04171,96.75875,34.25,4098.075
DS11-04172,92.77625,34,4286.0125
DS11-04173,85.23,33.125,4176.5625
DS11-04174,92.04875,30.75,4547.5125
DS11-04175,88.27875,35.5,4371.3125
DS11-04177,92.50625,35.625,4486.3375
DS11-04178,103.09125,35.75,3775.825
DS11-04179,100.62875,31.75,4174.4125
DS11-04181,97.6975,35.875,4293.1
DS11-04184,97.6675,35.375,4609.025
DS11-04185,94.91,35.875,4022.9875
DS11-04187,92.12625,33.875,4165.075
DS11-04191,89.87,31.5,3758.4125
DS11-04192,90.52,35.125,4400.1375
DS11-04194,99.55375,30.875,3875.4375
DS11-04195,84.28875,35.5,4466.15
DS11-04201,98.59,34.125,4023.375
DS11-04204,90.07,34.875,4279.05
DS11-04206,96.8625,36.625,4501.9125
DS11-04207,90.6675,35.375,4095.8375
DS11-04208,89.475,33.875,4104.3375
DS11-04211,93.3928571428571,34.7142857142857,4234.24285714286
DS11-04212,93.0975,36.5,4296.825
DS11-04214,92.3075,35,4151.5375
DS11-04222,97.30625,35.75,3974.9
DS11-04223,93.68,34.375,4234.6
DS11-04225,97.9,35.25,4120.1625
DS11-05001,91.8745454545455,30.2727272727273,3824.66454545455
DS11-05002,86.608,27.6,3960.224
DS11-05004,98.9545454545455,31.5454545454545,4019.78454545455
DS11-05006,83.822,26.7,4171.813
DS11-05007,101.862727272727,30.3636363636364,4299.63090909091
DS11-05008,77.676,24.6,3753.48
DS11-05009,80.05,27,3835.87454545455
DS11-05010,97.4781818181818,28.3636363636364,4217.61363636364
DS11-05011,83.0545454545455,25.2727272727273,3960.51545454545
DS11-05012,87.3663636363636,26.9090909090909,3860.09909090909
DS11-05013,93.132,29.9,3719.752
DS11-05015,80.863,24.3,3824.916
DS11-05016,87.3690909090909,27.1818181818182,4130.34
DS11-05017,91.0418181818182,30.9090909090909,4360.73818181818
DS11-05018,88.102,27.7,4378.613
DS11-05021,90.6154545454545,32.1818181818182,4313.18727272727
DS11-05023,89.2563636363636,30.5454545454545,4351.47909090909
DS11-05025,96.2836363636364,31.4545454545455,4267.84272727273
DS11-05027,92.4327272727273,25.6363636363636,3988.26818181818
DS11-05028,86.2927272727273,28.8181818181818,4338.81363636364
DS11-05029,88.7945454545455,28.7272727272727,3927.65727272727
DS11-05030,81.4463636363636,26.2727272727273,3909.27727272727
DS11-05035,86.7136363636364,29.2727272727273,4022.42454545455
DS11-05036,82.95,27.0909090909091,4071.59
DS11-05037,85.2236363636364,29.8181818181818,4214.91181818182
DS11-05039,83.2827272727273,25.1818181818182,3768.62727272727
DS11-05040,92.7681818181818,31.1818181818182,3991.98909090909
DS11-05041,93.7354545454545,28.4545454545455,4075.25909090909
DS11-05042,92.013,24.3,3937.491
DS11-05043,89.92,29.5454545454545,3948.35
DS11-05044,85.0872727272727,27.9090909090909,4253.58363636364
DS11-05046,83.6990909090909,26.0909090909091,4001.93909090909
DS11-05047,90.0836363636364,29,4035.24272727273
DS11-05048,88.214,27.9,3925.775
DS11-05049,88.9609090909091,28.6363636363636,4020.09454545455
DS11-05052,91.9172727272727,31.1818181818182,3891.24090909091
DS11-05053,91.3345454545455,28.4545454545455,3712.94363636364
DS11-05055,91.4018181818182,27.7272727272727,4058.64454545455
DS11-05056,98.9336363636364,27.9090909090909,4151.14909090909
DS11-05058,101.612727272727,31.2727272727273,4300.91090909091
DS11-05059,95.8809090909091,28.6363636363636,4066.06181818182
DS11-05061,86.73,29.4545454545455,3882.76818181818
DS11-05063,91.6463636363636,28.0909090909091,4310.23545454545
DS11-05064,100.235454545455,28.7272727272727,4237.29181818182
DS11-05066,97.5045454545455,28.1818181818182,3945.69818181818
DS11-05067,93.0990909090909,26.2727272727273,3958.22272727273
DS11-05068,82.5872727272727,22.5454545454545,3918.77545454545
DS11-05069,98.0581818181818,23.6363636363636,3858.22
DS11-05071,93.1927272727273,26.6363636363636,4121.26909090909
DS11-05072,89.1009090909091,27.5454545454545,4152.40272727273
DS11-05074,91.0263636363636,26.6363636363636,3647.35454545455
DS11-05075,90.8972727272727,27.2727272727273,3689.94636363636
DS11-05076,99.9672727272727,27.9090909090909,4151.00818181818
DS11-05078,85.42,26.9090909090909,4014.34181818182
DS11-05079,90.5754545454545,29.9090909090909,4000.71636363636
DS11-05080,93.2918181818182,26.8181818181818,3783.39181818182
DS11-05081,99.3518181818182,26.6363636363636,3699.07272727273
DS11-05083,96.7618181818182,30.5454545454545,3821.51727272727
DS11-05084,94.5027272727273,26.5454545454545,4019.15090909091
DS11-05085,100.863636363636,27,3928.60818181818
DS11-05086,88.6390909090909,27.4545454545455,3761.23
DS11-05089,92.1054545454545,27.1818181818182,3832.05454545455
DS11-05090,92.5245454545454,24.2727272727273,3736.05545454545
DS11-05091,96.9654545454546,25.2727272727273,3907.16727272727
DS11-05093,96.93,28.9090909090909,4130.63454545455
DS11-05094,96.1809090909091,30.6363636363636,3672.09818181818
DS11-05095,97.9827272727273,30.7272727272727,4091.5
DS11-05096,92.1136363636364,28.0909090909091,3667.57
DS11-05098,93.6709090909091,29,3949.55363636364
DS11-05108,99.8425,33.25,4253.2
DS11-05110,98.96,33.5,4585.2125
DS11-05111,90.9,32.25,4020.0875
DS11-05113,99.8485714285714,31.4285714285714,4619.82857142857
DS11-05114,99.7725,31.875,4305.9375
DS11-05117,92.95,30.2857142857143,4078.52857142857
DS11-05118,86.0057142857143,27.4285714285714,4328.75714285714
DS11-05119,92.11,27.2857142857143,3919.01428571429
DS11-05121,83.78625,32.125,4237.575
DS11-05122,88.63375,32.875,4012.0875
DS11-05123,88.9714285714286,30.2857142857143,4070.35714285714
DS11-05124,110.88125,32.625,4198.0875
DS11-05125,92.78375,29,4097.325
DS11-05126,92.9975,31.125,4364.0875
DS11-05127,90.9,32.25,4307.4
DS11-05128,91.7014285714286,26.4285714285714,4165.5
DS11-05129,104.835714285714,32.2857142857143,4116.25714285714
DS11-05130,97.2485714285714,30.4285714285714,3937.85714285714
DS11-05133,97.945,32.25,3936.7125
DS11-05134,92.1357142857143,28.8571428571429,4112.2
DS11-05135,95.1485714285714,26.1428571428571,3583.52857142857
DS11-05136,94.16375,31.625,3841.1
DS11-05137,99.5485714285714,32.7142857142857,4190.58571428571
DS11-05138,89.73,29.5,3809.375
DS11-05139,98.4471428571429,31,4109.47142857143
DS11-05140,98.93375,33.625,4372.6875
DS11-05141,96.8942857142857,30.2857142857143,4050.85714285714
DS11-05142,87.8914285714286,29.2857142857143,3652.78571428571
DS11-05143,97.3171428571429,30.4285714285714,4207.38571428571
DS11-05145,98.63125,32.25,3944.975
DS11-05146,83.03,27.375,4006.4875
DS11-05147,96.0214285714286,30,4038.97142857143
DS11-05148,89.08375,31.25,4310.6875
DS11-05149,99.7971428571429,32.1428571428571,3959.81428571429
DS11-05150,81.7985714285714,28.8571428571429,4152.64285714286
DS11-05151,90.18375,28,3869.125
DS11-05152,94.72875,30.75,3657.7875
DS11-05153,94.685,31.625,3717.575
DS11-05155,96.6825,26.25,3695.75
DS11-05156,97.575,29,3907.4875
DS11-05157,99.17375,30.75,3941.375
DS11-05158,100.97875,33.125,3968.65
DS11-05160,93.45875,27.375,3660.1875
DS11-05165,99.89375,28.125,3384.875
DS11-05166,90.22125,29.375,3897
DS11-05169,85.52875,27.875,4431.275
DS11-05170,85.51375,26.125,3519.1875
DS11-05171,87.7475,29.125,3795.975
DS11-05172,93.5475,30.875,4037.7875
DS11-05173,104.78875,26.875,3653.75
DS11-05174,99.3325,30,3619.4875
DS11-05175,97.8,30,4460.775
DS11-05177,93.01625,27.125,3819.025
DS11-05180,78.94625,27.125,3924.4625
DS11-05182,97.40875,27.125,3688.1125
DS11-05183,88.855,27,3944.5125
DS11-05184,86.75875,25.25,3938.925
DS11-05185,88.94,28.25,3552
DS11-05187,102.61875,28.375,4296.4
DS11-05188,102.8625,29.875,4015.8
DS11-05189,85.32625,28.125,3641.225
DS11-05190,92.555,29.375,3938.9375
DS11-05191,90.675,28.875,4041.175
DS11-05196,94.4525,25,3784.025
DS11-05197,96.1875,28.875,3761.5625
DS11-05198,98.425,29.5,3873.7
DS11-05202,86.08625,27.75,3883.525
DS11-05203,98.59375,27.625,4042.1875
DS11-05204,90.52375,28.75,3836.0625
DS11-05205,92.66875,29.625,4333.3625
DS11-06001,92.993,31.7,4024.101
DS11-06002,86.368,24.3,3644.056
DS11-06003,92.497,30,4235.415
DS11-06004,96.868,33,3985.489
DS11-06005,89.641,26.2,3951.664
DS11-06006,96.5133333333333,29.1111111111111,4105.99888888889
DS11-06007,89.7,30.1,4231.912
DS11-06008,83.078,30.4,4024.38
DS11-06009,95.725,28.9,4026.27
DS11-06010,89.939,29.5,4053.199
DS11-06011,92.659,32,4295.831
DS11-06012,94.0122222222222,29.1111111111111,3733.77
DS11-06014,95.27,32.4,4422.234
DS11-06015,95.855,32.9,4218.038
DS11-06016,97.521,31.3,3875.238
DS11-06017,86.0777777777778,28.5555555555556,3932.23444444444
DS11-06019,84.9488888888889,25.6666666666667,3845.58555555556
DS11-06020,101.986666666667,32.8888888888889,4352.67333333333
DS11-06022,95.208,30,4066.745
DS11-06026,94.0155555555556,26.5555555555556,4152.74111111111
DS11-06027,85.045,25.7,3937.247
DS11-06028,85.713,29.4,4084.473
DS11-06029,97.893,30.8,4142.262
DS11-06030,97.518,29.7,3974.027
DS11-06031,89.4833333333333,23.8888888888889,3823.33777777778
DS11-06032,95.7677777777778,30.2222222222222,3953.09888888889
DS11-06035,89.809,29.7,3804.727
DS11-06036,98.097,30.6,4387.666
DS11-06037,90.7277777777778,29.3333333333333,3808.59777777778
DS11-06041,96.274,32.1,3966.576
DS11-06042,92.515,32.3,3974.632
DS11-06044,90.8155555555556,27.4444444444444,4049.11333333333
DS11-06046,98.132,31.2,3842.109
DS11-06047,80.943,27,4023.771
DS11-06048,85.036,28.6,4079.159
DS11-06049,95.633,31.3,4167.426
DS11-06050,88.5455555555556,28.4444444444444,3991.06
DS11-06051,91.3211111111111,30.4444444444444,4075.49
DS11-06052,90.102,29.5,3964.108
DS11-06053,93.6055555555556,29,4217.16333333333
DS11-06054,101.526,32.6,4121.449
DS11-06056,88.0688888888889,27,3916.00777777778
DS11-06059,90.831,29.1,4134.923
DS11-06061,96.785,32.7,4407.74
DS11-06062,84.903,28.8,4110.555
DS11-06063,85.71,31,4397.671
DS11-06064,95.406,29.3,4377.81
DS11-06065,96.023,31.6,4361.163
DS11-06068,101.894444444444,28.5555555555556,4298.94777777778
DS11-06069,81.0011111111111,28,3904.15666666667
DS11-06070,97.438,32.9,4473.562
DS11-06071,93.7,30.3333333333333,4312.10111111111
DS11-06072,94.801,30.5,4229.535
DS11-06073,98.0777777777778,28.4444444444444,4123.07222222222
DS11-06074,94.996,32.3,4002.846
DS11-06078,92.1022222222222,27.7777777777778,4257.78
DS11-06080,91.561,31.5,4257.71
DS11-06081,86.507,30.7,4355.807
DS11-06082,86.4122222222222,30.5555555555556,4151.02777777778
DS11-06083,93.424,27.5,4145.646
DS11-06085,83.4777777777778,25.2222222222222,4006.59222222222
DS11-06086,93.409,30,4221.58
DS11-06087,85.5722222222222,28.1111111111111,4152.77666666667
DS11-06088,93.923,32.9,4048.453
DS11-06089,91.203,29.9,4466.52
DS11-06090,80.887,29.8,4181.098
DS11-06092,88.9388888888889,27.7777777777778,4212.68111111111
DS11-06093,85.7655555555556,26.4444444444444,4137.89111111111
